Asset_ID,Category,Manufacturer,Model,Location,Status,Purchase_Date,Warranty_Expiry,Department,Owner_Name,Cost_INR
AST-1001,Laptop,Dell,Laptop-Model-680,On-Prem,Under Maintenance,2025-11-23,2031-01-23,IT,Employee-1242,4862
AST-1002,Laptop,Dell,Laptop-Model-395,On-Prem,Decommissioned,2022-05-13,2031-01-19,Support,Employee-2478,593
AST-1003,Laptop,HP,Laptop-Model-859,Cloud AWS,Under Maintenance,2025-06-28,2028-09-18,Sales,Employee-4665,808
AST-1004,Laptop,Dell,Laptop-Model-997,Data Center,Inactive,2025-09-07,2027-11-27,HR,Employee-3387,2341
AST-1005,Laptop,HP,Laptop-Model-998,Data Center,Decommissioned,2024-01-01,2027-04-23,IT,Employee-2517,1472
AST-1006,Laptop,Lenovo,Laptop-Model-510,Cloud AWS,Active,2022-02-11,2029-09-17,HR,Employee-4740,2316
AST-1007,Laptop,Dell,Laptop-Model-339,Data Center,Inactive,2021-04-22,2027-04-02,HR,Employee-4553,3196
AST-1008,Laptop,Dell,Laptop-Model-273,Branch Office 2,Decommissioned,2026-01-23,2027-11-26,IT,Employee-2765,4913
AST-1009,Laptop,ASUS,Laptop-Model-372,Branch Office 1,Under Maintenance,2024-11-13,2030-09-27,Marketing,Employee-1092,4159
AST-1010,Laptop,ASUS,Laptop-Model-609,Cloud,Inactive,2023-12-10,2027-06-26,Sales,Employee-800,2770
AST-1011,Laptop,HP,Laptop-Model-409,Data Center,Under Maintenance,2026-03-02,2029-03-18,Operations,Employee-1359,2081
AST-1012,Laptop,Dell,Laptop-Model-781,Branch Office 1,Decommissioned,2024-10-09,2029-12-03,HR,Employee-3037,3792
AST-1013,Laptop,Dell,Laptop-Model-658,Data Center,Active,2021-05-06,2028-04-02,IT,Employee-2297,488
AST-1014,Laptop,HP,Laptop-Model-184,Data Center,Decommissioned,2023-03-27,2027-08-17,HR,Employee-2373,3910
AST-1015,Laptop,HP,Laptop-Model-488,Cloud,Inactive,2025-04-06,2027-11-06,Operations,Employee-3281,4238
AST-1016,Laptop,ASUS,Laptop-Model-945,Branch Office 2,Inactive,2024-07-10,2031-01-12,Finance,Employee-2077,2705
AST-1017,Laptop,Lenovo,Laptop-Model-136,Cloud,Under Maintenance,2022-08-16,2028-03-24,Support,Employee-4220,252
AST-1018,Laptop,Apple,Laptop-Model-398,Cloud AWS,Decommissioned,2022-02-27,2027-04-21,Finance,Employee-142,842
AST-1019,Laptop,Apple,Laptop-Model-871,On-Prem,Under Maintenance,2023-04-04,2031-02-22,HR,Employee-4180,1570
AST-1020,Laptop,Apple,Laptop-Model-725,Data Center,Active,2023-08-19,2028-10-19,Marketing,Employee-2991,2469
AST-1021,Laptop,HP,Laptop-Model-913,Branch Office 1,Under Maintenance,2026-02-26,2029-03-20,IT,Employee-380,3157
AST-1022,Laptop,Apple,Laptop-Model-636,Cloud,Under Maintenance,2024-07-26,2030-05-08,Marketing,Employee-2460,997
AST-1023,Laptop,Lenovo,Laptop-Model-211,Cloud,Decommissioned,2021-04-05,2028-03-24,Sales,Employee-193,1109
AST-1024,Laptop,Lenovo,Laptop-Model-965,Branch Office 2,Decommissioned,2024-02-10,2028-10-06,IT,Employee-2526,2290
AST-1025,Laptop,HP,Laptop-Model-389,Branch Office 2,Under Maintenance,2021-06-21,2030-04-22,Support,Employee-2623,2731
AST-1026,Laptop,Lenovo,Laptop-Model-125,Branch Office 1,Under Maintenance,2022-07-19,2027-12-23,Operations,Employee-1823,1339
AST-1027,Laptop,HP,Laptop-Model-465,Cloud AWS,Active,2024-03-06,2030-07-24,Marketing,Employee-4046,4090
AST-1028,Laptop,HP,Laptop-Model-496,On-Prem,Decommissioned,2022-06-24,2029-10-07,Operations,Employee-3276,4421
AST-1029,Laptop,Lenovo,Laptop-Model-652,Cloud AWS,Under Maintenance,2024-03-01,2027-08-01,Finance,Employee-1095,911
AST-1030,Laptop,Apple,Laptop-Model-180,Branch Office 2,Decommissioned,2023-06-16,2031-01-29,Operations,Employee-3559,1671
AST-1031,Laptop,Lenovo,Laptop-Model-433,Cloud AWS,Decommissioned,2024-07-24,2030-07-11,IT,Employee-4279,4560
AST-1032,Laptop,Dell,Laptop-Model-877,Data Center,Inactive,2024-01-19,2029-07-08,Support,Employee-461,4945
AST-1033,Laptop,HP,Laptop-Model-997,On-Prem,Under Maintenance,2021-10-13,2029-08-14,Marketing,Employee-2520,1103
AST-1034,Laptop,Lenovo,Laptop-Model-403,Cloud,Under Maintenance,2022-09-29,2027-07-08,Support,Employee-1430,1680
AST-1035,Laptop,Apple,Laptop-Model-418,On-Prem,Decommissioned,2024-06-27,2031-01-20,Operations,Employee-3886,4970
AST-1036,Laptop,Dell,Laptop-Model-299,Cloud AWS,Decommissioned,2025-06-15,2029-03-04,IT,Employee-2756,4260
AST-1037,Laptop,Lenovo,Laptop-Model-889,Branch Office 2,Under Maintenance,2022-01-25,2030-04-19,IT,Employee-3714,1047
AST-1038,Laptop,Apple,Laptop-Model-399,Cloud,Under Maintenance,2025-02-14,2028-01-09,Marketing,Employee-3700,458
AST-1039,Laptop,HP,Laptop-Model-311,Branch Office 1,Inactive,2022-10-15,2027-07-09,Support,Employee-4839,3771
AST-1040,Laptop,Lenovo,Laptop-Model-815,On-Prem,Decommissioned,2025-04-06,2027-10-26,Support,Employee-3857,4514
AST-1041,Laptop,HP,Laptop-Model-767,Cloud AWS,Inactive,2024-09-30,2028-08-22,Finance,Employee-2302,3633
AST-1042,Laptop,Apple,Laptop-Model-829,Cloud,Inactive,2024-06-26,2028-09-14,Marketing,Employee-4173,223
AST-1043,Laptop,ASUS,Laptop-Model-265,Cloud AWS,Active,2022-11-22,2030-07-01,Finance,Employee-3818,1786
AST-1044,Laptop,Apple,Laptop-Model-286,Cloud AWS,Active,2024-09-06,2028-06-24,Support,Employee-783,4808
